"status","status_description"
"new","New"
"auto_assigned","Assigned (Auto)"
"assigned","Assigned"
"work_in_progress","Work in progress"
"resolved","Resolved"
"auto_ttl_resolved","Resolved (Auto TTL)"
"auto_previous_resolved","Resolved (Auto Previous)"
