template_name, template_file, content_type, from, subject, attachments
"default_incident_created","default_incident_created.html","html","splunk@localhost", "Splunk Alert: Incident created by alert {{ name }}", "alertmanager.png"
"default_incident_assigned","default_incident_assigned.html","html","splunk@localhost", "Splunk Alert: Incident assigned to you by alert {{ name }}", "alertmanager.png"
